Date,Qty,MRP,SP,Promotions,Category,Sales_Qty,closing-inventory,Average_OOS,year,month,day,dayofyear,week,diff
2016-10-23,0,812,806,0.007389162561576401,Cat2,84,-1218,0.89375,2016,10,23,297,42,-21
2016-10-30,-206,836,836,0.0,Cat2,58,-1482,0.96875,2016,10,30,304,43,-26
2016-11-06,0,898,898,0.0,Cat2,83,-1565,0.874251497005988,2016,11,6,311,44,25
2016-11-13,0,929,929,0.0,Cat2,71,-1636,0.8622754491017964,2016,11,13,318,45,-12
2016-11-20,142,768,768,0.0,Cat2,76,-1570,0.9281437125748503,2016,11,20,325,46,5
2016-11-27,0,788,788,0.0,Cat2,73,-1643,0.874251497005988,2016,11,27,332,47,-3
2016-12-04,-77,706,698,0.011331444759206777,Cat2,48,-1768,0.9414893617021276,2016,12,4,339,48,-25
2016-12-11,271,845,842,0.0035502958579881616,Cat2,72,-1569,0.8882978723404256,2016,12,11,346,49,24
2016-12-18,0,735,712,0.03129251700680269,Cat2,61,-1630,0.9042553191489362,2016,12,18,353,50,-11
2016-12-25,0,835,800,0.041916167664670656,Cat2,95,-1725,0.9042553191489362,2016,12,25,360,51,34
2017-01-01,0,757,644,0.14927344782034346,Cat2,90,-1815,0.9289617486338798,2017,1,1,1,52,-5
2017-01-08,0,846,735,0.13120567375886527,Cat2,74,-1889,0.8852459016393442,2017,1,8,8,1,-16
2017-01-15,0,821,690,0.15956151035322774,Cat2,84,-1973,0.8579234972677596,2017,1,15,15,2,10
2017-01-22,72,833,699,0.16086434573829533,Cat2,75,-1976,0.9508196721311475,2017,1,22,22,3,-9
2017-01-29,0,753,563,0.25232403718459495,Cat2,74,-2050,0.8852459016393442,2017,1,29,29,4,-1
2017-02-05,84,739,630,0.14749661705006767,Cat2,42,-2008,0.8905109489051095,2017,2,5,36,5,-32
2017-02-12,0,802,756,0.05735660847880297,Cat2,63,-2071,0.8321167883211679,2017,2,12,43,6,21
2017-02-19,152,930,900,0.032258064516129004,Cat2,48,-1967,0.8978102189781022,2017,2,19,50,7,-15
2017-02-26,0,869,869,0.0,Cat2,27,-1994,0.9781021897810219,2017,2,26,57,8,-21
2017-03-05,120,862,862,0.0,Cat2,63,-1937,0.9111111111111111,2017,3,5,64,9,36
2017-03-12,13,1018,1018,0.0,Cat2,81,-2005,0.9222222222222223,2017,3,12,71,10,18
2017-03-19,0,1049,1049,0.0,Cat2,44,-2049,0.9777777777777777,2017,3,19,78,11,-37
2017-03-26,301,975,975,0.0,Cat2,77,-1825,0.8444444444444444,2017,3,26,85,12,33
2017-04-02,-360,976,976,0.0,Cat2,111,-2296,0.8695652173913043,2017,4,2,92,13,34
2017-04-09,231,1012,1012,0.0,Cat2,117,-2182,0.8743961352657005,2017,4,9,99,14,6
2017-04-16,0,990,990,0.0,Cat2,112,-2294,0.9033816425120773,2017,4,16,106,15,-5
2017-04-23,126,936,936,0.0,Cat2,88,-2256,0.8695652173913043,2017,4,23,113,16,-24
2017-04-30,-48,980,980,0.0,Cat2,67,-2371,0.9420289855072463,2017,4,30,120,17,-21
2017-05-07,0,887,887,0.0,Cat2,79,-2450,0.875,2017,5,7,127,18,12
2017-05-14,496,948,945,0.0031645569620253333,Cat2,90,-2044,0.8894230769230769,2017,5,14,134,19,11
2017-05-21,0,871,871,0.0,Cat2,126,-2170,0.8653846153846154,2017,5,21,141,20,36
2017-05-28,0,937,937,0.0,Cat2,75,-2245,0.9326923076923077,2017,5,28,148,21,-51
2017-06-04,0,931,930,0.0010741138560687036,Cat2,86,-2331,0.9227272727272727,2017,6,4,155,22,11
2017-06-11,247,927,927,0.0,Cat2,70,-2154,0.9318181818181819,2017,6,11,162,23,-16
2017-06-18,223,929,929,0.0,Cat2,79,-2010,0.9,2017,6,18,169,24,9
2017-06-25,0,877,669,0.23717217787913336,Cat2,143,-2153,0.8863636363636364,2017,6,25,176,25,64
2017-07-02,0,779,667,0.14377406931964054,Cat2,130,-2283,0.855072463768116,2017,7,2,183,26,-13
2017-07-09,0,838,782,0.06682577565632464,Cat2,92,-2375,0.8695652173913043,2017,7,9,190,27,-38
2017-07-16,0,802,761,0.05112219451371569,Cat2,77,-2452,0.9178743961352657,2017,7,16,197,28,-15
2017-07-23,418,877,743,0.1527936145952109,Cat2,65,-2099,0.9227053140096618,2017,7,23,204,29,-12
2017-07-30,0,899,791,0.12013348164627369,Cat2,71,-2170,0.8888888888888888,2017,7,30,211,30,6
2017-08-06,0,903,836,0.07419712070874862,Cat2,70,-2240,0.8871794871794871,2017,8,6,218,31,-1
2017-08-13,224,836,817,0.022727272727272707,Cat2,102,-2118,0.8769230769230769,2017,8,13,225,32,32
2017-08-20,64,882,866,0.01814058956916098,Cat2,78,-2132,0.9025641025641026,2017,8,20,232,33,-24
2017-08-27,94,865,861,0.0046242774566473965,Cat2,64,-2102,0.9487179487179487,2017,8,27,239,34,-14
2017-09-03,214,883,883,0.0,Cat2,95,-1983,0.925,2017,9,3,246,35,31
2017-09-10,216,804,804,0.0,Cat2,93,-1860,0.945,2017,9,10,253,36,-2
2017-09-17,0,845,845,0.0,Cat2,48,-1908,0.915,2017,9,17,260,37,-45
2017-09-24,48,803,803,0.0,Cat2,81,-1941,0.895,2017,9,24,267,38,33
2017-10-01,144,849,849,0.0,Cat2,62,-1859,0.894338586916883,2017,10,1,274,39,-19
2017-10-08,0,813,772,0.050430504305043033,Cat2,81,-1940,0.894338586916883,2017,10,8,281,40,19
2017-10-15,185,813,772,0.050430504305043033,Cat2,81,-1836,0.894338586916883,2017,10,15,288,41,0
2017-10-22,0,813,772,0.050430504305043033,Cat2,81,-1917,0.894338586916883,2017,10,22,295,42,0
2017-10-29,58,813,772,0.050430504305043033,Cat2,81,-1940,0.894338586916883,2017,10,29,302,43,0
2017-11-05,0,823,809,0.017010935601458055,Cat2,84,-2024,0.8881987577639752,2017,11,5,309,44,3
2017-11-12,172,684,676,0.011695906432748537,Cat2,58,-1910,0.8881987577639752,2017,11,12,316,45,-26
2017-11-19,0,871,866,0.00574052812858783,Cat2,64,-1974,0.906832298136646,2017,11,19,323,46,6
2017-11-26,175,764,744,0.02617801047120416,Cat2,49,-1848,0.9192546583850931,2017,11,26,330,47,-15
2017-12-03,97,828,795,0.03985507246376807,Cat2,64,-1815,0.9292452830188679,2017,12,3,337,48,15
2017-12-10,0,890,831,0.06629213483146068,Cat2,53,-1868,0.9716981132075472,2017,12,10,344,49,-11
2017-12-17,40,848,778,0.08254716981132071,Cat2,58,-1886,0.9150943396226415,2017,12,17,351,50,5
2017-12-24,42,856,771,0.09929906542056077,Cat2,116,-1960,0.8726415094339622,2017,12,24,358,51,58
2017-12-31,172,853,798,0.06447831184056274,Cat2,96,-1884,0.9339622641509434,2017,12,31,365,52,-20
